survey_word,cdi_word,word,variant,pair,question,type,cogsci
dolly,dolly,dolly,CDL,dolly_doll,doll_caregiver,diminutive,y
doll,doll,doll,ADL,dolly_doll,doll_caregiver,diminutive,y
teddy,teddybear,teddybear,CDL,teddy_bear,bear_caregiver,other,n
bear,bear,bear,ADL,teddy_bear,bear_caregiver,other,n
blankie,blankie,blankie,CDL,blankie_blanket,blanket_caregiver,diminutive,y
blanket,blanket,blanket,ADL,blankie_blanket,blanket_caregiver,diminutive,y
potty,potty,potty,CDL,potty_bathroom,bathroom_caregiver,other,y
bathroom,bathroom,bathroom,ADL,potty_bathroom,bathroom_caregiver,other,y
tummy,tummy,tummy,CDL,tummy_stomach,stomach_caregiver,other,y
stomach,stomach,stomach,ADL,tummy_stomach,stomach_caregiver,other,y
mommy,mommy*,mommy,CDL,mommy_mom,mom_caregiver,diminutive,y
mom,mom,mom,ADL,mommy_mom,mom_caregiver,diminutive,y
daddy,daddy*,daddy,CDL,daddy_dad,dad_caregiver,diminutive,y
dad,dad,dad,ADL,daddy_dad,dad_caregiver,diminutive,y
sissy,sissy,sissy,CDL,sissy_sister,sister_caregiver,other,n
sister,sister,sister,ADL,sissy_sister,sister_caregiver,other,n
auntie,auntie,auntie,CDL,auntie_aunt,aunt_caregiver,diminutive,n
aunt,aunt,aunt,ADL,auntie_aunt,aunt_caregiver,diminutive,n
nightnight,night night,night night,CDL,nightnight_goodnight,goodnight_caregiver,other,y
goodnight,goodnight,goodnight,ADL,nightnight_goodnight,goodnight_caregiver,other,y
