id,age,sex,pair,question,speaker,type,value
4,490,M,bunny_rabbit,rabbit_caregiver,caregiver,other,84
4,490,M,froggy_frog,frog_caregiver,caregiver,diminutive,85
4,490,M,horsey_horse,horse_caregiver,caregiver,diminutive,42
4,490,M,piggy_pig,pig_caregiver,caregiver,diminutive,47
4,490,M,fishy_fish,fish_caregiver,caregiver,diminutive,62
4,490,M,mousey_mouse,mouse_caregiver,caregiver,diminutive,44
4,490,M,duckie_duck,duck_caregiver2,caregiver,diminutive,81
4,490,M,doggy_dog,dog_caregiver2,caregiver,diminutive,82
4,490,M,birdie_bird,bird_caregiver,caregiver,diminutive,82
4,490,M,dolly_doll,doll_caregiver,caregiver,diminutive,83
4,490,M,teddy_bear,bear_caregiver,caregiver,other,83
4,490,M,blankie_blanket,blanket_caregiver,caregiver,diminutive,84
4,490,M,potty_bathroom,bathroom_caregiver,caregiver,other,91
4,490,M,tummy_stomach,stomach_caregiver,caregiver,other,91
4,490,M,mommy_mom,mom_caregiver,caregiver,diminutive,91
4,490,M,daddy_dad,dad_caregiver,caregiver,diminutive,94
4,490,M,sissy_sister,sister_caregiver,caregiver,other,93
4,490,M,auntie_aunt,aunt_caregiver,caregiver,diminutive,93
4,490,M,nightnight_goodnight,goodnight_caregiver,caregiver,other,93
4,490,M,baabaa_sheep,sheep_child,child,onomatopoeia,0
5,497,F,choochoo_train,train_caregiver,caregiver,onomatopoeia,90
5,497,F,vroomvroom_car,car_caregiver,caregiver,onomatopoeia,50
5,497,F,quackquack_duck,duck_caregiver,caregiver,onomatopoeia,85
5,497,F,baabaa_sheep,sheep_caregiver,caregiver,onomatopoeia,90
5,497,F,woofwoof_dog,dog_caregiver,caregiver,onomatopoeia,85
5,497,F,cockadoodledoo_rooster,rooster_caregiver,caregiver,onomatopoeia,41
5,497,F,kitty_cat,cat_caregiver,caregiver,other,89
5,497,F,bunny_rabbit,rabbit_caregiver,caregiver,other,95
5,497,F,froggy_frog,frog_caregiver,caregiver,diminutive,62
5,497,F,horsey_horse,horse_caregiver,caregiver,diminutive,50
5,497,F,piggy_pig,pig_caregiver,caregiver,diminutive,50
5,497,F,fishy_fish,fish_caregiver,caregiver,diminutive,81
5,497,F,mousey_mouse,mouse_caregiver,caregiver,diminutive,50
5,497,F,duckie_duck,duck_caregiver2,caregiver,diminutive,86
