model,term,estimate,std.error,statistic,p.value
child-full,age,0.022852352223654938,1.1410455299716632e-4,200.27555100472156,0
child-cogsci,age,0.019318386804947067,1.3821864123766993e-4,139.76686959126363,0
caregiver-full,age,0.01335181540467078,1.0424137072831874e-4,128.0855701664671,0
caregiver-cogsci,age,0.012178059198456555,1.25140616263466e-4,97.31500101307925,0
