x,predicted,std.error,conf.low,conf.high,group,model
40.61,0.5894704596037068,0.0028855273685765444,0.5881011602613417,0.5908383739118738,1,child-cogsci
42.09,0.5963712682885921,0.0028083279690276674,0.5950456330606806,0.5976954979023635,1,child-cogsci
42.38,0.5977190888937233,0.0027947060369162297,0.5964013110219103,0.5990354568199363,1,child-cogsci
42.55,0.5985085060986082,0.002786957849316038,0.5971952245648472,0.5998203750774134,1,child-cogsci
43.2,0.6015221248861908,0.0027589776259615523,0.6002252755792972,0.6028175510876829,1,child-cogsci
44.39,0.607019332584388,0.0027147184261167375,0.6057493641307521,0.6082878555656435,1,child-cogsci
44.55,0.6077564226647179,0.002709474066971676,0.6064897451615844,0.609021651319806,1,child-cogsci
44.75,0.6086770946672476,0.0027031587483887193,0.607414421403282,0.6099383147236808,1,child-cogsci
47.05,0.6192078072946807,0.002650248803525737,0.6179822680475782,0.6204318297469374,1,child-cogsci
48.13,0.6241149032413094,0.002638286139387983,0.622901046331952,0.625327203067513,1,child-cogsci
48.3,0.6248850297324292,0.0026371680003880738,0.623672674571776,0.626095820755619,1,child-cogsci
48.66,0.6265137972260361,0.00263549024561533,0.6253043201377715,0.6277216945570709,1,child-cogsci
49.58,0.6306631184549538,0.002635469434797008,0.6294591407688835,0.6318654720381207,1,child-cogsci
50.43,0.6344796543070353,0.0026408976416961356,0.6332784127383497,0.6356792247334432,1,child-cogsci
50.89,0.6365380857059358,0.002646006918192522,0.635337400865761,0.6377370713499724,1,child-cogsci
51.52,0.6393491337573745,0.002655459780445143,0.6381481780561156,0.6405483487213328,1,child-cogsci
52.24,0.6425500954308621,0.0026697020990300493,0.6413473986744519,0.6437509993547007,1,child-cogsci
52.27,0.6426831955365011,0.0026703743664331565,0.6414803937097333,0.6438842022496116,1,child-cogsci
53.06,0.6461801924425526,0.0026903179511808552,0.6449737090202103,0.6473848173931844,1,child-cogsci
53.32,0.6473277125941761,0.0026978161937289504,0.6461196389125694,0.6485339055342618,1,child-cogsci
54.05,0.6505404903311782,0.002721296390256751,0.6493269814756746,0.6517520520312886,1,child-cogsci
54.67,0.6532584699528856,0.0027439957767196313,0.6520392571767757,0.6544756745304303,1,child-cogsci
57.07,0.6636845419260667,0.0028545067863462933,0.6624346154563827,0.6649321812036889,1,child-cogsci
57.1,0.6638138898417991,0.002856104936038614,0.6625634993820323,0.6650619891732173,1,child-cogsci
57.56,0.6657941405776645,0.0028812462336218502,0.6645364084824115,0.6670495197472542,1,child-cogsci
58.58,0.6701642725609205,0.002941133496817955,0.6688888126673871,0.671437232678915,1,child-cogsci
58.68,0.6705911536813379,0.0029473023051652396,0.6693138539370657,0.6718659385116251,1,child-cogsci
58.78,0.6710177535332716,0.002953522913033818,0.6697385965295981,0.6722943803504318,1,child-cogsci
58.94,0.67169972696726,0.0029635828134555553,0.6704175626126772,0.6729793364193921,1,child-cogsci
