model,effect,group,term,estimate,std.error,statistic,p.value
child,fixed,NA,(age),0.4709718770035071,0.09315793087285215,5.0556283570351015,4.289759913860457e-7
caregiver,fixed,NA,(age),0.5742699742208514,0.07648698844909353,7.508074064166625,6.000355666659861e-14
